Name,Address,Lat,Lon,Category,Reviews
Tung Kee Mì Gia,"11205 16th Ave SW Shorewood Seattle, WA 98146",47.5025446,-122.3554815,vietnamese,29
88 Restaurant,"9418 Delridge Way SW Westwood Seattle, WA 98106",47.5237424,-122.3673831,vietnamese,65
Pho Vina,"17325 140th Ave NE Woodinville, WA 98072",47.7531915,-122.1527264,vietnamese,89
Pho In & Out,"18437 E Valley Hwy Ste 101 Kent, WA 98032",47.4367323,-122.2252719,vietnamese,72
Ba Bar,"550 12th Ave Central District Seattle, WA 98122",47.6069531,-122.3165305,vietnamese,575
Hoang Lan,"7119 Martin Luther King Jr Way S Beacon Hill Seattle, WA 98118",47.5383819,-122.282113,vietnamese,66
Pho Than Brothers,"2309 N 45th St Wallingford Seattle, WA 98103",47.6611629,-122.3309348,vietnamese,38
Origin Vietnamese Bistro & Bar,"1333 5th Ave Ste 510 Downtown Seattle, WA 98101",47.6093374,-122.3347554,vietnamese,86
Pho Ld,"5515 4th Ave S Georgetown Seattle, WA 98108",47.5529354,-122.3298809,vietnamese,26
Pho Mignon,"12557 116th Ave NE Kirkland, WA 98034",47.7127345,-122.1864958,vietnamese,131
Fortune Noodle House,"4004 NE 4th St Ste 102 Renton, WA 98056",47.4889562,-122.1654796,vietnamese,97
Pegasus Pho,"Redmond Town Ctr 16552 NE 74th St Ste C-205 Redmond, WA 98052",47.6701193,-122.118237,vietnamese,53
Old Saigon Pho Restaurant,"971 Industry Dr Tukwila, WA 98188",47.4491399,-122.248436,vietnamese,54
Pho Than Brothers,"626 N 34th St Fremont Seattle, WA 98103",47.649899,-122.3502814,vietnamese,34
Taste of Pho,"20101 44th Ave W Ste E Lynnwood, WA 98036",47.816563,-122.29169,vietnamese,131
Bella Viet Cafe',"4021 E Madison St Madison Park Seattle, WA 98112",47.6339545,-122.280414,vietnamese,20
Saigon Deli,"1237 S Jackson St International District Seattle, WA 98144",47.5989286,-122.315445,vietnamese,388
Bamboo House,"22910 Bothell Everett Hwy Bothell, WA 98021",47.7903058,-122.2194559,vietnamese,100
Vietnam House,"1038 S Jackson St International District Seattle, WA 98104",47.599212,-122.3278252,vietnamese,169
Cát Sang,"20512 108th Ave SE Kent, WA 98031",47.4183728,-122.1970176,vietnamese,96
Pho 99,"9828 15th Ave SW White Center Seattle, WA 98106",47.514639,-122.353393,vietnamese,58
Kirkland Pho House,"12026 NE 85th St Kirkland, WA 98033",47.680635,-122.1799226,vietnamese,149
Mi La Cay,"718 Rainier Ave S Central District Seattle, WA 98144",47.59609,-122.3113783,vietnamese,107
Time 4 Pho,"2812 Thorndyke Ave W Interbay Seattle, WA 98199",47.6448067,-122.3832066,vietnamese,117
I Love Pho,"7605 SE 27th St Ste 112 Mercer Island, WA 98040",47.5864983,-122.2371919,vietnamese,84
Pho All Day,"150 105th Ave NE Bellevue, WA 98004",47.6114519,-122.1998535,vietnamese,124
Pho Vina,"15623 1st Ave S Burien, WA 98148",47.4626699,-122.3344248,vietnamese,80
Tangerine Tree Vietnamese Restaurant,"1430 Harvard Ave Ste 201 First Hill Seattle, WA 98122",47.6132889,-122.3220893,vietnamese,99
Monsoon East,"10245 Main St Bellevue, WA 98004",47.6098917,-122.2030573,vietnamese,325
Moonlight Cafe,"1919 S Jackson St Central District Seattle, WA 98144",47.5989291,-122.3065386,vietnamese,272
Crazy Pho Cajun,"516 7th Ave S International District Seattle, WA 98104",47.5978459,-122.32338,vietnamese,55
Pho Cyclo Café,"406 Broadway E Capitol Hill Seattle, WA 98102",47.6220881,-122.320893,vietnamese,469
108 Restaurant,"18114 E Valley Hwy Kent, WA 98030",47.4405881,-122.2204109,vietnamese,61
Pho My Loi,"10439 16th Ave SW Ste A White Center Seattle, WA 98146",47.5088328,-122.3556431,vietnamese,49
Phobulous,"3303 78th Ave SE Mercer Island, WA 98040",47.5801833,-122.2337771,vietnamese,64
Pho Ba,"415 7th Ave S International District Seattle, WA 98104",47.5986969,-122.3237424,vietnamese,259
The Thaitan Restaurant,"5258 California Ave SW Fairmount Park Seattle, WA 98136",47.5540143,-122.3866506,vietnamese,126
Thien Phat,"3330 Rainier Ave S Mount Baker Seattle, WA 98144",47.5732537,-122.2936764,vietnamese,41
I Love Pho,"3900 Factoria Blvd SE Bellevue, WA 98006",47.5754768,-122.1689375,vietnamese,180
The Lemongrass,"514 12th Ave Central District Seattle, WA 98122",47.606736,-122.3165,vietnamese,139
Pho Than Brothers,"8 W Mercer St Lower Queen Anne Seattle, WA 98119",47.624802,-122.3572522,vietnamese,124
Papaya Vietnamese Cafe,"827 N 10th Pl Ste F Renton, WA 98057",47.4982939,-122.2039768,vietnamese,238
Lucky's Pho,"3414 Fremont Ave N Fremont Seattle, WA 98103",47.6500624,-122.3494749,vietnamese,164
Pho World,"17823 108th Ave SE Renton, WA 98055",47.4442946,-122.197009,vietnamese,115
Pho Bac,"1314 S Jackson St Central District Seattle, WA 98144",47.5993639,-122.3147014,vietnamese,237
Jebena Cafe,"1510 NE 117th St Seattle, WA 98125",47.7141215,-122.3119119,african,166
Sunset Cafe,"8115 Rainier Ave S Rainier Beach Seattle, WA 98118",47.5298953,-122.270234,african,97
Altaye Ethiopian Restaurant,"8135 Rainier Ave S Rainier Beach Seattle, WA 98118",47.529378,-122.2701914,african,141
Enat Ethiopian Restaurant,"11546 15th Ave NE Seattle, WA 98125",47.713467,-122.3120443,african,118
